Rule Key,Description,Type,Severity,Tags,Old (pre 2024.12.0) Keys,,,,,,
java:S2254,"""HttpServletRequest.getRequestedSessionId()"" should not be used",Vulnerability,Critical,"cwe,owasp-a2,sans-top25-porous",squid:S2254,,,,,,
java:S2658,Classes should not be loaded dynamically,Vulnerability,Critical,"cwe,owasp-a1",squid:S2658,,,,,,
java:S5445,Insecure temporary file creation methods should not be used,Vulnerability,Critical,"cwe,owasp-a9",squid:S2976,,,,,,
java:S5542,Encryption algorithms should be used with secure mode and padding scheme,Vulnerability,Critical,"cwe,owasp-a3,owasp-a6,owasp-m5,privacy,sans-top25-porous",squid:S2277,,,,,,1
java:S5547,Cipher algorithms should be robust,Vulnerability,Critical,"cwe,owasp-a3,owasp-a6,owasp-m5,privacy,sans-top25-porous","squid:S2258, squid:S2258",,,,,,3
CQRules:CWE-134,Don't use format strings that may be externally-controlled,Vulnerability,Major,cqsecurity,,,,,,,4
CQRules:CWE-676,Use of Potentially Dangerous Function,Vulnerability,Major,cqsecurity,,,,,,,2
findbugs:PT_ABSOLUTE_PATH_TRAVERSAL,Security - Absolute path traversal in servlet,Vulnerability,Major,cwe,,,,,,,
findbugs:PT_RELATIVE_PATH_TRAVERSAL,Security - Relative path traversal in servlet,Vulnerability,Major,cwe,,,,,,,
findsecbugs:PATH_TRAVERSAL_IN,Security - Potential Path Traversal (file read),Vulnerability,Major,"cwe,owasp-a4,wasc",,,,,,,1
findsecbugs:PATH_TRAVERSAL_OUT,Security - Potential Path Traversal (file write),Vulnerability,Major,"cwe,owasp-a4,wasc",,,,,,,2
java:1989,Exceptions should not be thrown from servlet methods,Vulnerability,Minor,"cert,cwe,error-handling,owasp-a3",squid:S1989,,,,,,3
findsecbugs:FILE_UPLOAD_FILENAME,Security - Tainted filename read,Vulnerability,Info,"cwe,owasp-a4,wasc",,,,,,,4
java:S2068,Hard-coded passwords are security-sensitive,Security Hotspot,Blocker,"cert,cwe,owasp-a2,sans-top25-porous",squid:S2068,,,,,,5
java:S2245,Using pseudorandom number generators (PRNGs) is security-sensitive,Security Hotspot,Critical,"cert,cwe,owasp-a3",squid:S2245,,,,,,
java:S2257,Using non-standard cryptographic algorithms is security-sensitive,Security Hotspot,Critical,"cwe,owasp-a3,sans-top25-porous",squid:S2257,,,,,,
java:S4790,Using weak hashing algorithms is security-sensitive,Security Hotspot,Critical,"cwe,owasp-a3,owasp-a6,owasp-m5,sans-top25-porous,spring",squid:S2070,,,,,,
java:S2077,SQL binding mechanisms should be used,Security Hotspot,Major,"cert,cwe,hibernate,owasp-a1,sans-top25-insecure,sql",squid:S2077,,,,,,
java:S2092,"Creating cookies without the ""secure"" flag is security-sensitive",Security Hotspot,Minor,"cwe,owasp-a3,privacy,sans-top25-porous,spring",squid:S2092,,,,,,
BannedPath,Customer packages should not install content under /libs,Bug,Blocker,,,,,,,,
java:S2095,Resources should be closed,Bug,Blocker,"cert,cwe,denial-of-service,leak",squid:S2095,,,,,,
java:S2168,Double-checked locking should not be used,Bug,Blocker,"cert,cwe,multi-threading",squid:S2168,,,,,,
java:S2276,"""wait(...)"" should be used instead of ""Thread.sleep(...)"" when a lock is held",Bug,Blocker,"cert,multi-threading,performance",squid:S2276,,,,,,
AEM Rules:AEM-3,Non-thread safe object used as a field of Servlet / Filter etc.,Bug,Critical,aem,,,,,,,
CQRules:ConnectionTimeoutMechanism,HttpClient instances should always have socket and connect timeouts,Bug,Critical,,,,,,,,
findbugs:BC_IMPOSSIBLE_CAST,Correctness - Impossible cast,Bug,Critical,correctness,,,,,,,
findbugs:BC_IMPOSSIBLE_DOWNCAST,Correctness - Impossible downcast,Bug,Critical,correctness,,,,,,,
java:S1114,"""super.finalize()"" should be called at the end of ""Object.finalize()"" implementations",Bug,Critical,"cert,cwe",squid:ObjectFinalizeOverridenCallsSuperFinalizeCheck,,,,,,
java:S1143,"Jump statements should not occur in ""finally"" blocks",Bug,Critical,"cert,cwe,error-handling",squid:S1143,,,,,,
java:S2222,Locks should be released on all paths,Bug,Critical,"cwe,multi-threading",squid:S2222,,,,,,
java:S2441,"Non-serializable objects should not be stored in ""HttpSession"" objects",Bug,Critical,"cert,cwe",squid:S2441,,,,,,
java:S3518,Zero should not be a possible denominator,Bug,Critical,"cert,cwe,denial-of-service",squid:S3518,,,,,,
ConfigAndInstallShouldOnlyContainOsgiNodes,Paths with /config/ and /install/ should only be used for OSGi configuration and bundles,Bug,Major,,,,,,,,
DuplicateOsgiConfigurations,Customer packages should not contain overlapping OSGi configurations,Bug,Major,,,,,,,,
findbugs:EQ_ALWAYS_FALSE,Correctness - equals method always returns false,Bug,Major,correctness,,,,,,,
